timestamp_ms,found,x,y
1777283654127,1,205,93
1777283654161,1,205,92
1777283654192,1,205,90
1777283654227,1,205,89
1777283654262,1,205,88
1777283654292,1,205,86
1777283654327,1,205,86
1777283654361,1,205,84
1777283654392,1,204,82
1777283654427,1,204,82
1777283654461,1,204,80
1777283654492,1,203,78
1777283654527,1,203,78
1777283654561,1,202,76
1777283654592,1,201,74
1777283654627,1,201,74
1777283654661,1,200,72
1777283654692,1,199,70
1777283654727,1,199,70
1777283654761,1,198,69
1777283654792,1,196,66
1777283654827,1,195,66
1777283654859,1,194,65
1777283654892,1,193,64
1777283654927,1,192,63
1777283654961,1,190,62
1777283654992,1,188,60
1777283655027,1,187,60
1777283655061,1,186,59
1777283655092,1,184,58
1777283655127,1,183,58
1777283655160,1,181,57
1777283655192,1,180,57
1777283655227,1,178,56
1777283655261,1,176,55
1777283655292,1,174,54
1777283655327,1,173,54
1777283655361,1,172,54
1777283655392,1,170,54
1777283655427,1,169,53
1777283655461,1,167,53
1777283655492,1,165,52
1777283655527,1,165,52
1777283655561,1,163,52
1777283655592,1,162,52
1777283655627,1,161,51
1777283655662,1,160,51
1777283655692,1,158,51
1777283655728,1,158,51
1777283655759,1,157,51
1777283655792,1,156,51
1777283655827,1,155,50
1777283655859,1,154,50
1777283655892,1,153,50
1777283655927,1,152,50
1777283655961,1,151,50
1777283655992,1,150,50
1777283656027,1,150,49
1777283656061,1,149,49
1777283656092,1,148,49
1777283656127,1,148,49
1777283656161,1,147,49
1777283656192,1,146,49
1777283656227,1,146,49
1777283656261,1,145,49
1777283656292,1,144,48
1777283656327,1,143,48
1777283656361,1,143,48
1777283656392,1,141,48
1777283656427,1,141,48
1777283656461,1,140,48
1777283656492,1,139,48
1777283656527,1,139,48
1777283656559,1,138,47
1777283656592,1,137,47
1777283656627,1,136,47
1777283656662,1,136,47
1777283656692,1,134,46
1777283656727,1,134,47
1777283656760,1,133,46
1777283656792,1,132,46
1777283656827,1,131,46
1777283656861,1,130,46
1777283656892,1,128,46
1777283656927,1,128,46
1777283656961,1,126,45
1777283656992,1,125,45
1777283657027,1,124,45
1777283657061,1,123,45
1777283657092,1,121,45
1777283657127,1,120,45
1777283657161,1,118,45
1777283657192,1,117,44
1777283657227,1,116,44
1777283657259,1,115,44
1777283657292,1,114,44
1777283657327,1,113,44
1777283657361,1,111,44
1777283657392,1,109,44
1777283657427,1,109,44
1777283657461,1,107,44
1777283657492,1,106,44
1777283657527,1,105,44
1777283657561,1,104,44
1777283657592,1,102,44
1777283657627,1,101,44
1777283657661,1,100,45
1777283657692,1,99,46
1777283657727,1,98,46
1777283657761,1,96,46
1777283657792,1,95,47
1777283657827,1,95,47
1777283657861,1,94,48
1777283657892,1,92,49
1777283657927,1,91,49
1777283657960,1,90,50
1777283657992,1,89,51
1777283658027,1,88,51
1777283658061,1,87,52
1777283658092,1,86,54
1777283658127,1,85,54
1777283658161,1,84,55
1777283658192,1,83,57
1777283658227,1,82,57
1777283658261,1,81,58
1777283658292,1,79,59
1777283658327,1,79,60
1777283658361,1,78,61
1777283658392,1,76,62
1777283658427,1,75,63
1777283658461,1,74,64
1777283658492,1,73,66
1777283658527,1,72,66
1777283658561,1,71,67
1777283658592,1,70,69
1777283658627,1,69,70
1777283658661,1,68,71
1777283658692,1,67,72
1777283658727,1,66,73
1777283658761,1,65,74
1777283658792,1,64,76
1777283658827,1,63,76
1777283658861,1,62,77
1777283658892,1,61,79
1777283658927,1,60,80
1777283658961,1,59,81
1777283658992,1,58,82
1777283659027,1,57,83
1777283659061,1,56,84
1777283659092,1,55,85
1777283659127,1,54,86
1777283659161,1,53,87
1777283659192,1,52,89
1777283659227,1,51,89
1777283659259,1,50,90
1777283659292,1,50,91
1777283659327,1,49,92
1777283659359,1,48,93
1777283659392,1,47,94
1777283659427,1,47,95
1777283659461,1,45,97
1777283659492,1,45,98
1777283659527,1,45,98
1777283659561,1,44,99
1777283659592,1,43,100
1777283659627,1,42,101
1777283659661,1,42,101
1777283659692,1,41,102
1777283659727,1,40,103
1777283659760,1,40,103
1777283659792,1,39,104
1777283659827,1,39,105
1777283659861,1,38,106
1777283659892,1,38,107
1777283659927,1,38,107
1777283659961,1,37,108
1777283659992,1,37,109
1777283660028,1,37,109
1777283660060,1,37,110
1777283660092,1,37,111
1777283660127,1,36,112
1777283660161,1,36,113
1777283660192,1,36,114
1777283660227,1,36,115
1777283660261,1,36,116
1777283660292,1,36,117
1777283660328,1,36,117
1777283660360,1,36,118
1777283660392,1,37,119
1777283660427,1,37,121
1777283660461,1,37,122
1777283660492,1,38,123
1777283660527,1,38,124
1777283660561,1,39,125
1777283660592,1,39,127
1777283660627,1,40,127
1777283660661,1,40,129
1777283660692,1,41,130
1777283660728,1,41,131
1777283660775,1,42,133
1777283660809,1,43,134
1777283660844,1,44,135
1777283660876,1,45,137
1777283660909,1,45,138
1777283660944,1,46,139
1777283660976,1,47,141
1777283661009,1,48,141
1777283661044,1,49,142
1777283661076,1,50,144
1777283661109,1,50,145
1777283661144,1,51,146
1777283661176,1,52,148
1777283661209,1,53,148
1777283661244,1,53,149
1777283661276,1,54,151
1777283661309,1,55,151
1777283661344,1,55,152
1777283661376,1,56,153
1777283661409,1,56,154
1777283661444,1,57,155
1777283661476,1,57,157
1777283661509,1,57,157
1777283661544,1,58,158
1777283661576,1,58,159
1777283661609,1,58,160
1777283661644,1,58,161
1777283661676,1,58,162
1777283661709,1,58,163
1777283661744,1,58,163
1777283661776,1,58,165
1777283661809,1,58,165
1777283661844,1,57,167
1777283661876,1,57,168
1777283661909,1,57,168
1777283661942,1,57,169
1777283661975,1,57,171
1777283662009,1,56,172
1777283662044,1,56,173
1777283662076,1,56,174
1777283662109,1,56,175
1777283662144,1,56,176
1777283662176,1,55,178
1777283662209,1,55,178
1777283662242,1,55,180
1777283662275,1,55,181
1777283662309,1,56,182
1777283662342,1,56,183
1777283662375,1,56,184
1777283662409,1,56,185
1777283662443,1,57,186
1777283662476,1,57,188
1777283662509,1,58,188
1777283662544,1,58,190
1777283662576,1,59,191
1777283662609,1,59,192
1777283662644,1,60,193
1777283662676,1,61,194
1777283662709,1,62,194
1777283662744,1,63,195
1777283662776,1,64,196
1777283662809,1,65,197
1777283662843,1,66,197
1777283662876,1,67,198
1777283662909,1,68,198
1777283662944,1,69,199
1777283662976,1,71,199
1777283663009,1,72,199
1777283663044,1,73,200
1777283663078,1,75,200
1777283663109,1,77,200
1777283663144,1,77,200
1777283663176,1,79,200
1777283663209,1,80,200
1777283663243,1,81,199
1777283663276,1,83,199
1777283663309,1,83,199
1777283663344,1,84,198
1777283663376,1,86,198
1777283663409,1,86,198
1777283663444,1,87,197
1777283663476,1,88,196
1777283663509,1,89,196
1777283663544,1,89,195
1777283663576,1,90,194
1777283663609,1,90,194
1777283663644,1,90,193
1777283663676,1,91,192
1777283663709,1,91,192
1777283663744,1,90,192
1777283663776,1,90,191
1777283663809,1,90,191
1777283663844,1,90,190
1777283663876,1,89,190
1777283663909,1,89,189
1777283663944,1,88,189
1777283663976,1,87,189
1777283664009,1,87,189
1777283664043,1,86,189
1777283664076,1,85,189
1777283664109,1,85,188
1777283664144,1,84,188
1777283664176,1,83,188
1777283664209,1,83,188
1777283664244,1,82,188
1777283664276,1,81,188
1777283664309,1,80,188
1777283664349,1,79,189
1777283664380,1,78,189
1777283664412,1,78,189
1777283664444,1,77,189
1777283664476,1,76,189
1777283664509,1,76,189
1777283664544,1,75,189
1777283664576,1,75,189
1777283664609,1,74,189
1777283664644,1,74,189
1777283664676,1,74,189
1777283664709,1,74,189
1777283664744,1,74,189
1777283664776,1,74,189
1777283664809,1,74,189
